Topic no.,Interpretation,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25
Topic0,law / judiciary,said,healy,dr,wynne,defendant,case,asked,witness,speech,magistrates,irish,say,made,fight,kent,sergeant,court,stated,volunteers,way,present,sweeney,people,ireland,starkie
Topic1,personal relations,think,know,hope,see,good,much,well,love,tell,dear,say,like,let,way,best,go,suppose,shall,mrs,come,hear,course,mother,things,sure
Topic2,local politics,said,committee,city,lord,council,fleming,work,alderman,great,mayor,horgan,ireland,matter,public,meeting,hear,corporation,school,children,question,resolution,war,cork,motion,government
Topic3,Easter Rising,dublin,shot,wounded,unarmed,hospital,green,rebels,police,stephens,hotel,33,matron,irish,feiners,sinn,surgeon,fitzwilliam,metropolitan,wheeler,royal,constabulary,fired,place,car,command
Topic4,World War I,shall,committee,county,national,members,company,battalion,council,member,general,officers,volunteers,military,act,time,court,inspector,meeting,battalions,officer,area,president,order,control,chairman
Topic5,Irish letters,tá,sé,ó,sí,agus,go,na,tú,ag,ar,seo,bhí,agam,il,ach,fir,eile,dhé,gach,aon,anois,maith,chur,mbeadh,leat
Topic6,prisoners of war,letter,write,last,home,well,week,letters,got,hear,mother,know,received,dear,tell,glad,writing,must,wrote,news,send,sent,charlie,reading,best,see
Topic7,Dublin Castle,sir,dublin,secretary,office,castle,servant,dear,obedient,solicitor,chief,crown,copy,beg,state,directed,belfast,letter,county,lord,clerk,esq,hon,council,general,london
Topic8,French letters,de,et,la,que,je,il,en,pour,vous,du,un,les,est,qui,son,qu',mon,dans,ai,ma,moi,tout,des,plus,par
Topic9,imprisonment,prisoners,friends,camp,prisoner,prison,money,receive,persons,sent,letter,allowed,men,time,stage,received,visits,visit,military,commandant,governor,rules,depend,intervals,liable,letters
Topic10,economy / private businesses,1914,amount,banks,table,cent,stock,1913,savings,increase,half,total,ireland,decrease,1912,deposits,1911,war,page,societies,loan,loans,capital,office,bank,56
Topic11,people and places,john,enniscorthy,galway,athenry,james,michael,thomas,patrick,pat,thos [thomas],murphy,joseph,ferns,william,jas [james],martin,oranmore,edward,dublin,burke,cork,walsh,francis,peter,wm
Topic12,schedules and appointments,time,got,last,night,day,home,went,came,men,go,good,well,quite,back,little,great,never,morning,since,week,come,till,going,days,see
Topic13,education,school,schools,royal,number,last,percentage,present,pupils,patrick,intermediate,results,endowment,taken,whole,sum,passes,cavan,presented,total,general,girls,enniskillen,work,condition,scheme
Topic14,Irish questions / War of Independence / Civil War,irish,ireland,government,act,war,men,ulster,england,parliament,excluded,made,area,united,redmond,rule,people,country,corps,great,english,kingdom,home,part,carson,house
Topic15,Medicine (Irish medical societies),college,royal,president,physicians,ireland,dear,fellows,registrar,sir,fellow,miss,council,meeting,committee,surgeons,inform,requested,dr,esq,following,resolution,medical,remain,madam,copy
Topic16,peace keeping / policing,said,day,county,sessions,general,act,antrim,lieutenant,quarter,petitioner,lord,ireland,next,premises,john,order,transfer,th [counting],peace,office,solicitor,held,justices,court,aforesaid
Topic17,Exchanging news,get,got,send,home,able,going,day,letters,suppose,glad,news,hope,every,hear,back,yesterday,like,getting,anything,well,long,days,soon,course,know
